Room-ID,Capacity
A203-A204,72
A207-A208,72
A218-A219,80
A222-A224,77
A303-A304,68
A307-A308,108
A315-A316,80
A319-A320,72
A414-A415,100
A417,60
A418,60
A422-A423,96
A516,60
A517,60
Amfi 1 (-2. Kat),180
Amfi 2 (-2. Kat),180
Amfi 3 (-2. Kat),180
Amfi 4 (-2. Kat),180
B413-B414,108
B515-B516,125
CB101,56
CB102,48
CB103,60
CB107,48
CB108,100
CB112,48
C111-C112,135
C401,56
C402,56
C403-C404,84
C406,48
C407,48
C410,56
C501,56
C502,56
C503-C504,84
C506,48
C507,48
C510,56
DB412,176
